Test run for C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll (.NETCoreApp,Version=v8.0)
A total of 1 test files matched the specified pattern.
C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll
[xUnit.net 00:00:00.00] xUnit.net VSTest Adapter v2.8.2+699d445a1a (64-bit .NET 8.0.24)
[xUnit.net 00:00:01.52]   Discovering: Hamlet.RadioEngine.Tests
[xUnit.net 00:00:01.70]   Discovered:  Hamlet.RadioEngine.Tests
[xUnit.net 00:00:01.70]   Starting:    Hamlet.RadioEngine.Tests
[xUnit.net 00:00:03.74]   Finished:    Hamlet.RadioEngine.Tests
  Passed Hamlet.RadioEngine.Tests.Cw.TheEightRedsTests.GroupASpeed [2 s]
  Standard Output Messages:
 A | #41 21.50 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 21.75 s | tone 625
 A | #41 21.75 s | text 10 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 22.00 s | tone 625
 A | #41 22.00 s | text 10 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 22.25 s | tone 625
 A | #41 22.25 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 22.50 s | tone 625
 A | #41 22.50 s | text 11 | last-wpm 10.67 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 22.75 s | tone 625
 A | #41 22.75 s | text 12 | last-wpm 11.16 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 23.00 s | tone 625
 A | #41 23.00 s | text 12 | last-wpm 11.16 | wpm 11 | reacquiring False | retunes 3 | follows 3 | since 23.25 s | tone 625
 A | #41 23.25 s | text 0 | last-wpm 10.91 | wpm null | reacquiring True | retunes 3 | follows 3 | since 23.50 s | tone 625
 A | #41 23.50 s | text 0 | last-wpm 10.91 | wpm null | reacquiring True | retunes 3 | follows 3 | since 23.75 s | tone 625
 A | #41 23.75 s | text 0 | last-wpm 10.91 | wpm null | reacquiring True | retunes 3 | follows 3 | since 24.00 s | tone 625
 A | #41 24.00 s | text 0 | last-wpm 10.91 | wpm null | reacquiring True | retunes 3 | follows 3 | since 24.25 s | tone 625
 A | #41 24.25 s | text 0 | last-wpm 11.16 | wpm null | reacquiring True | retunes 3 | follows 3 | since 24.50 s | tone 625
 A | #41 24.50 s | text 0 | last-wpm 11.16 | wpm null | reacquiring True | retunes 3 | follows 3 | since 24.75 s | tone 625
 A | #41 24.75 s | text 0 | last-wpm 11.16 | wpm null | reacquiring True | retunes 3 | follows 3 | since 25.00 s | tone 625
 A | #41 25.00 s | text 0 | last-wpm 11.16 | wpm null | reacquiring True | retunes 4 | follows 4 | since 0.22 s | tone 725
 A | #41 25.25 s | text 15 | last-wpm 10.91 | wpm null | reacquiring True | retunes 4 | follows 4 | since 0.47 s | tone 725
 A | #41 25.50 s | text 15 | last-wpm 10.91 | wpm null | reacquiring True | retunes 4 | follows 4 | since 0.72 s | tone 725
 A | #41 25.75 s | text 14 | last-wpm 10.67 | wpm null | reacquiring True | retunes 4 | follows 4 | since 0.97 s | tone 725
 A | #41 26.00 s | text 14 | last-wpm 10.67 | wpm null | reacquiring True | retunes 4 | follows 4 | since 1.22 s | tone 725
 A | #41 26.25 s | text 14 | last-wpm 11.43 | wpm null | reacquiring True | retunes 4 | follows 4 | since 1.47 s | tone 725
 A | #41 26.50 s | text 14 | last-wpm 11.43 | wpm null | reacquiring True | retunes 4 | follows 4 | since 1.72 s | tone 725
 A | #41 26.75 s | text 13 | last-wpm 11.43 | wpm null | reacquiring True | retunes 4 | follows 4 | since 1.97 s | tone 725
 A | #41 27.00 s | text 13 | last-wpm 11.43 | wpm null | reacquiring True | retunes 4 | follows 4 | since 2.22 s | tone 735
 A | #41 27.25 s | text 13 | last-wpm 14.12 | wpm null | reacquiring True | retunes 4 | follows 4 | since 2.47 s | tone 735
 A | #41 27.50 s | text 13 | last-wpm 14.12 | wpm null | reacquiring True | retunes 4 | follows 4 | since 2.72 s | tone 735
 A | #41 27.75 s | text 12 | last-wpm 19.20 | wpm null | reacquiring True | retunes 4 | follows 4 | since 2.97 s | tone 735
 A | #41 28.00 s | text 12 | last-wpm 19.20 | wpm null | reacquiring True | retunes 4 | follows 4 | since 3.22 s | tone 735
 A | #41 28.25 s | text 13 | last-wpm 20.87 | wpm null | reacquiring True | retunes 4 | follows 4 | since 3.47 s | tone 735
 A | #41 28.50 s | text 13 | last-wpm 20.87 | wpm null | reacquiring True | retunes 4 | follows 4 | since 3.72 s | tone 730
 A | #41 28.75 s | text 14 | last-wpm 20.87 | wpm null | reacquiring True | retunes 4 | follows 4 | since 3.97 s | tone 730
 A | #41 29.00 s | text 14 | last-wpm 20.87 | wpm null | reacquiring True | retunes 4 | follows 4 | since 4.22 s | tone 730
 A | #41 29.25 s | text 13 | last-wpm 20.87 | wpm null | reacquiring True | retunes 4 | follows 4 | since 4.47 s | tone 730
