src/Hamlet.App/ViewModels/MainWindowViewModel.cs | KeyingReading | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | KeyingVerdict | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | Outcome | TYPE ABSENT | missing: Block None Score
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | SendOption | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | TransmissionEnd | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | TransmitChain | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | TransmitContext | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | TransmitEvidence | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | TransmitOutcome | type there | missing: none
src/Hamlet.App/ViewModels/MainWindowViewModel.cs | TransmitReadiness | type there | missing: none
src/Hamlet.App/ViewModels/PhrasebookViewModel.cs | CwPhrase | type there | missing: none
src/Hamlet.App/ViewModels/PhrasebookViewModel.cs | CwPhrasebook | type there | missing: none
src/Hamlet.App/ViewModels/PhrasebookViewModel.cs | PhraseKind | type there | missing: none
src/Hamlet.App/ViewModels/ScanViewModel.cs | CwCharacter | type there | missing: none
src/Hamlet.App/ViewModels/ScanViewModel.cs | CwDecoder | type there | missing: Ranked
tests/Hamlet.App.Tests/Cw/TheSheetSaysWhatEachElementWasSentAtTests.cs | CwDecodeReport | type there | missing: none
tests/Hamlet.App.Tests/Telemetry/ARefusedPressLeavesALineTests.cs | CwDecoder | type there | missing: none
tests/Hamlet.App.Tests/Telemetry/CallsignPrivacyTests.cs | CwConfidence | type there | missing: none
tests/Hamlet.App.Tests/Telemetry/CallsignPrivacyTests.cs | CwDecodeReport | type there | missing: none
tests/Hamlet.App.Tests/Telemetry/CallsignPrivacyTests.cs | Outcome | TYPE ABSENT | missing: none
tests/Hamlet.App.Tests/Telemetry/CallsignPrivacyTests.cs | TransmitChain | type there | missing: none
tests/Hamlet.App.Tests/Telemetry/CallsignPrivacyTests.cs | TransmitReadiness | type there | missing: none
tests/Hamlet.App.Tests/Telemetry/DecisionEmissionTests.cs | CwMessage | type there | missing: none
tests/Hamlet.App.Tests/Telemetry/DecisionEmissionTests.cs | CwReadiness | type there | missing: none
tests/Hamlet.App.Tests/Telemetry/DecisionEmissionTests.cs | CwReadyState | type there | missing: none
tests/Hamlet.App.Tests/Telemetry/DecisionEmissionTests.cs | CwSendOutcome | type there | missing: none
tests/Hamlet.App.Tests/Telemetry/DecisionEmissionTests.cs | CwSendResult | type there | missing: none
tests/Hamlet.App.Tests/Telemetry/DecisionEmissionTests.cs | CwTransmitter | type there | missing: none
tests/Hamlet.App.Tests/Telemetry/DecisionEmissionTests.cs | ICwSender | type there | missing: none
tests/Hamlet.App.Tests/Telemetry/DecisionEmissionTests.cs | Outcome | TYPE ABSENT | missing: none
tests/Hamlet.App.Tests/Telemetry/DecisionEmissionTests.cs | TransmitContext | type there | missing: none
tests/Hamlet.App.Tests/Telemetry/ThePressActuallyWritesItsCaptureTests.cs | CwDecoder | type there | missing: none
tests/Hamlet.App.Tests/Telemetry/Unit305SettledTests.cs | CwReadyState | type there | missing: none
tests/Hamlet.App.Tests/Telemetry/Unit305SettledTests.cs | TransmitReadiness | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/AHeldVerdictPrintsNoMeasurementsTests.cs | KeyingReading | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/AHeldVerdictPrintsNoMeasurementsTests.cs | KeyingVerdict | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/ASheetSaysWhichInstrumentSpokeTests.cs | CwCase | type there | missing: none
tests/Hamlet.App.Tests/ViewModels/ASheetSaysWhichInstrumentSpokeTests.cs | CwCaseRoster | type there | missing: none
