Test run for C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll (.NETCoreApp,Version=v8.0)
A total of 1 test files matched the specified pattern.
C:\Source\HamLet\tests\Hamlet.RadioEngine.Tests\bin\Debug\net8.0\Hamlet.RadioEngine.Tests.dll
[xUnit.net 00:00:00.00] xUnit.net VSTest Adapter v2.8.2+699d445a1a (64-bit .NET 8.0.24)
[xUnit.net 00:00:00.06]   Discovering: Hamlet.RadioEngine.Tests
[xUnit.net 00:00:00.23]   Discovered:  Hamlet.RadioEngine.Tests
[xUnit.net 00:00:00.24]   Starting:    Hamlet.RadioEngine.Tests
[xUnit.net 00:04:18.39]   Finished:    Hamlet.RadioEngine.Tests
  Passed Hamlet.RadioEngine.Tests.Cw.WhatPitchTheDecoderIsOnTests.OnEveryCaptureInTheTree [4 m 18 s]
  Standard Output Messages:
 window | unadjudicated/cw-2026-08-18-003126 | 19 to 21 s | instrument 669.2 | tracker 670.0 | mix 670.0 | measured 1.00 | err +0.8 | swing 36.6 dB | keyed 1.03 s
 window | unadjudicated/cw-2026-08-18-003126 | 20 to 22 s | instrument 669.1 | tracker 670.0 | mix 670.0 | measured 1.00 | err +0.9 | swing 37.1 dB | keyed 1.01 s
 window | unadjudicated/cw-2026-08-18-003126 | 21 to 23 s | instrument 669.3 | tracker 650.0 | mix 650.0 | measured 1.00 | err -19.3 | swing 36.2 dB | keyed 1.05 s
 window | unadjudicated/cw-2026-08-18-003126 | 22 to 24 s | instrument 669.1 | tracker 650.0 | mix 650.0 | measured 1.00 | err -19.1 | swing 39.2 dB | keyed 0.59 s
 window | unadjudicated/cw-2026-08-18-003126 | 24 to 26 s | instrument 669.3 | tracker 675.0 | mix 675.0 | measured 1.00 | err +5.7 | swing 36.0 dB | keyed 0.68 s
 window | unadjudicated/cw-2026-08-18-003126 | 25 to 27 s | instrument 669.4 | tracker 675.0 | mix 675.0 | measured 1.00 | err +5.6 | swing 35.6 dB | keyed 0.94 s
 window | unadjudicated/cw-2026-08-18-003126 | 26 to 28 s | instrument 669.2 | tracker 670.0 | mix 670.0 | measured 1.00 | err +0.8 | swing 34.1 dB | keyed 0.94 s
 window | unadjudicated/cw-2026-08-18-003126 | 27 to 29 s | instrument 669.1 | tracker 670.0 | mix 670.0 | measured 1.00 | err +0.9 | swing 33.6 dB | keyed 0.95 s
 window | unadjudicated/cw-2026-08-18-003126 | 28 to 30 s | instrument 668.9 | tracker 665.0 | mix 665.0 | measured 1.00 | err -3.9 | swing 34.1 dB | keyed 1.01 s
 window | unadjudicated/cw-2026-08-18-003758 | 0 to 2 s | instrument 496.8 | tracker 600.0 | mix 600.0 | measured 0.00 | err +103.2 | swing 45.5 dB | keyed 0.65 s | >25
 window | unadjudicated/cw-2026-08-18-003758 | 1 to 3 s | instrument 500.7 | tracker 500.0 | mix 500.0 | measured 0.24 | err -0.7 | swing 44.8 dB | keyed 0.77 s
 window | unadjudicated/cw-2026-08-18-003758 | 2 to 4 s | instrument 498.6 | tracker 500.0 | mix 500.0 | measured 0.74 | err +1.4 | swing 46.2 dB | keyed 0.85 s
